Title:
BG 联合国安理会 称 NUM 年 扣押 大批 朝鲜 武器 ED
Teacher Forced Generated Title:
中新网              
Distribution for each word in title:
1:
中新网: 0.000056
: 0.000055
韩: 0.000055
国际: 0.000055
计划: 0.000055
联合国安理会: 0.000054
-: 0.000054
民众: 0.000054
情人节: 0.000054
中国: 0.000054

2:
: 0.000070
ED: 0.000063
在: 0.000062
称: 0.000061
机场: 0.000061
“: 0.000061
西南部: 0.000060
:: 0.000060
紧急: 0.000060
进行: 0.000060

3:
: 0.000075
ED: 0.000064
在: 0.000063
“: 0.000063
”: 0.000062
民众: 0.000061
紧急: 0.000061
西南部: 0.000061
欺骗: 0.000061
-: 0.000061

4:
: 0.000079
ED: 0.000064
“: 0.000063
朴槿惠: 0.000063
”: 0.000062
日: 0.000062
在: 0.000062
西南部: 0.000062
-: 0.000061
特朗普: 0.000061

5:
: 0.000080
ED: 0.000064
朴槿惠: 0.000063
“: 0.000063
-: 0.000061
”: 0.000061
的: 0.000060
在: 0.000060
西南部: 0.000060
最高法院: 0.000060

6:
: 0.000082
ED: 0.000068
“: 0.000066
紧急: 0.000065
大批: 0.000065
-: 0.000063
NUM: 0.000063
”: 0.000063
民众: 0.000063
案: 0.000063

7:
: 0.000082
ED: 0.000065
大批: 0.000063
朴槿惠: 0.000063
“: 0.000062
阿富汗: 0.000062
紧急: 0.000062
-: 0.000062
”: 0.000062
NUM: 0.000062

8:
: 0.000088
ED: 0.000067
“: 0.000065
”: 0.000064
朴槿惠: 0.000064
或: 0.000064
遭袭: 0.000064
阿富汗: 0.000063
最高法院: 0.000063
-: 0.000063

9:
: 0.000093
ED: 0.000069
“: 0.000067
朴槿惠: 0.000066
”: 0.000066
阿富汗: 0.000065
欺骗: 0.000065
-: 0.000065
特朗普: 0.000065
在: 0.000065

10:
: 0.000108
ED: 0.000069
“: 0.000068
”: 0.000066
阿富汗: 0.000066
朴槿惠: 0.000066
特朗普: 0.000065
或: 0.000065
-: 0.000065
